,iBlock,iRun,trial_counter,trial,timing_bl,jitter_t_BL,timing_cue,play_tone,timing_ITI,timing_target,keypress,reaction_time,cue_ori,target_ori,mapping1,frequency,correct,subject,phase1,pupil_target_locked_t1,pupil_target_locked_t2,pupil_baseline_target_locked,outlier_rt
0,1,1,1,1,"(260.70783473957727, 'Miss', 'Miss')",360.0,263.70543369999996,1,264.70563169999997,272.6906061,left,4.988176899,45,315,1,80,1,sub-1,1,1.2953640206904915,4.713788368530255,3.1765874343526437,0
1,1,1,2,2,"(275.6915351832831, 'Miss', 'Miss')",300.0,278.19170299999996,1,279.1918858,283.0426786000001,left,0.8542158740000001,45,315,1,80,1,sub-1,1,5.041609667864539,7.757603459360634,-7.590220105954383,0
2,1,1,3,3,"(286.0436243528475, 'Miss', 'Miss')",348.0,288.9439167,0,289.9440987,293.9949473000001,right,1.053249453,45,315,1,80,0,sub-1,1,-3.806465791343258,-2.2448481774956157,0.645419436778607,0
3,1,1,4,4,"(296.99589445597576, 'Miss', 'Miss')",396.0,300.2962508,1,301.2964162,305.1638586,right,0.870325397,0,45,1,80,1,sub-1,1,1.1537300192177715,6.765680677464119,-3.0152098844552917,0
4,1,1,5,5,"(308.1647954662858, 'Miss', 'Miss')",336.0,310.9650686,0,311.9652395,315.632678,left,0.670835463,45,315,1,80,1,sub-1,1,-6.7675709769989085,-3.9240864925265697,2.0828114968821074,0
5,1,1,6,6,"(318.6336006556003, 'Miss', 'Miss')",360.0,321.6339177,0,322.6341194,326.0514876000001,right,0.420400606,0,45,1,80,1,sub-1,1,2.2084231841085,10.01240879402244,-9.04497463735473,0
6,1,1,7,7,"(329.05238612032645, 'Miss', 'Miss')",336.0,331.8526706,1,332.85284900000005,336.5202722,left,0.670064789,45,315,1,80,1,sub-1,1,-2.4098213446884134,0.4228137358680717,-0.9638950317616616,0
7,1,1,8,8,"(339.52118021282604, 'Miss', 'Miss')",384.0,342.7215332,1,343.72171460000015,347.17244389999996,right,0.45354485,0,45,1,80,1,sub-1,1,-2.3704723002813424,0.5298494493836676,4.5678502211182685,0
8,1,1,9,9,"(350.17336609113045, 'Miss', 'Miss')",408.0,353.5737797,0,354.5739495,358.1080067,right,0.5375604979999999,0,45,1,80,1,sub-1,1,-2.9614192907395887,-2.0191043145477527,-0.509320777137091,0
9,1,1,10,10,"(361.1089504688125, 'Miss', 'Miss')",300.0,363.6091438,0,364.60934,367.9600154,right,0.35365520799999994,0,315,0,20,0,sub-1,1,-0.7050931721375193,-0.9849390848843136,2.833374719580453,0
10,1,1,11,11,"(370.9609494767574, 'Miss', 'Miss')",372.0,374.0612769,0,375.0614758,399.1496985,left,21.09151349,45,315,1,80,1,sub-1,1,3.668366630303431,-4.6013463431150985,1.0152790369454396,1
11,1,1,12,12,"(402.15063121456296, 'Miss', 'Miss')",384.0,405.3509995,0,406.3511712,409.9019022,right,0.553253059,0,45,1,80,1,sub-1,1,5.7656070988170525,7.028695781849753,-5.655498082889607,0
12,1,1,13,13,"(412.9028704130624, 'Miss', 'Miss')",372.0,416.003124,0,417.0033443,420.5040603,right,0.503464148,0,45,1,80,1,sub-1,1,1.2418067024784136,-4.857140423259176,0.5784125291276974,0
